😀  Grinning Face
🏩  (building) Love Hotel
🏪  (building) Convenience Store
🏫  (building) School
🏬  (building) Department Store
🏭  (building) Factory
🏯  (building) Japanese Castle
🏰  (building) Castle
💒  (building) Wedding
🗼  (building) Tokyo Tower
🗽  (building) Statue of Liberty
⛪  (building) Church
🕌  (building) Mosque
🛕  (building) Hindu Temple
🕍  (building) Synagogue
⛩️  (building) Shinto Shrine
🕋  (building) Kaaba
⛲  (building) Fountain
⛺  (building) Tent
🌁  (building) Foggy
🌃  (building) Night with Stars
🏙️  (building) Cityscape
🌄  () Sunrise Over Mountains
🌅  () Sunrise
🌆  () Cityscape at Dusk
🌇  () Sunset
🌉  () Bridge at Night
♨️  () Hot Springs
🎠  () Carousel Horse
🛝  () Playground Slide
🎡  () Ferris Wheel
🎢  () Roller Coaster
💈  () Barber Pole
🎪  () Circus Tent
🛎️  () Bellhop Bell
🗿  () Moai
---
🚂  (vehicle) Locomotive
🚃  (vehicle) Railway Car
🚄  (vehicle) High-Speed Train
🚅  (vehicle) Bullet Train
🚆  (vehicle) Train
🚇  (vehicle) Metro
🚈  (vehicle) Light Rail
🚉  (vehicle) Station
🚊  (vehicle) Tram
🚝  (vehicle) Monorail
🚞  (vehicle) Mountain Railway
🚋  (vehicle) Tram Car
🚌  (vehicle) Bus
🚍  (vehicle) Oncoming Bus
🚎  (vehicle) Trolleybus
🚐  (vehicle) Minibus
🚑  (vehicle) Ambulance
🚒  (vehicle) Fire Engine
🚓  (vehicle) Police Car
🚔  (vehicle) Oncoming Police Car
🚕  (vehicle) Taxi
🚖  (vehicle) Oncoming Taxi
🚗  (vehicle) Automobile
🚘  (vehicle) Oncoming Automobile
🚙  (vehicle) Sport Utility Vehicle
🛻  (vehicle) Pickup Truck
🚚  (vehicle) Delivery Truck
🚛  (vehicle) Articulated Lorry
🚜  (vehicle) Tractor
🏎️  (vehicle) Racing Car
🏍️  (vehicle) Motorcycle
🛵  (vehicle) Motor Scooter
🦽  (vehicle) Manual Wheelchair
🦼  (vehicle) Motorized Wheelchair
🛺  (vehicle) Auto Rickshaw
🚲  (vehicle) Bicycle
🛴  (vehicle) Kick Scooter
🛹  (vehicle) Skateboard
🛼  (vehicle) Roller Skate
🚏  (vehicle) Bus Stop
🛣️  (vehicle) Motorway
🛤️  (vehicle) Railway Track
🛢️  (vehicle) Oil Drum
⛽  (vehicle) Fuel Pump
🛞  (vehicle) Wheel
🚨  (vehicle) Police Car Light
🚥  (vehicle) Horizontal Traffic Light
🚦  (vehicle) Vertical Traffic Light
🛑  (vehicle) Stop Sign
🚧  (vehicle) Construction
⚓  (vehicle) Anchor
🛟  (vehicle) Ring Buoy
⛵  (vehicle) Sailboat
🛶  (vehicle) Canoe
🚤  (vehicle) Speedboat
🛳️  (vehicle) Passenger Ship
⛴️  (vehicle) Ferry
🛥️  (vehicle) Motor Boat
🚢  (vehicle) Ship
✈️  (vehicle) Airplane
🛩️  (vehicle) Small Airplane
🛫  (vehicle) Airplane Departure
🛬  (vehicle) Airplane Arrival
🪂  (vehicle) Parachute
💺  (vehicle) Seat
🚁  (vehicle) Helicopter
🚟  (vehicle) Suspension Railway
🚠  (vehicle) Mountain Cableway
🚡  (vehicle) Aerial Tramway
🛰️  (vehicle) Satellite
🚀  (vehicle) Rocket
🛸  (vehicle) Flying Saucer
---
🎀  (things) Ribbon
🎗️  (things) Reminder Ribbon
👓  (things) Glasses
🕶️  (things) Sunglasses
🥽  (things) Goggles
🥼  (things) Lab Coat
🦺  (things) Safety Vest
👔  (things) Necktie
👕  (things) T-Shirt
👖  (things) Jeans
🧣  (things) Scarf
🧤  (things) Gloves
🧥  (things) Coat
🧦  (things) Socks
👗  (things) Dress
👘  (things) Kimono
🥻  (things) Sari
🩱  (things) One-Piece Swimsuit
🩲  (things) Briefs
🩳  (things) Shorts
👙  (things) Bikini
👚  (things) Woman's Clothes
🪭  (things) Folding Hand Fan
👛  (things) Purse
👜  (things) Handbag
👝  (things) Clutch Bag
🛍️  (things) Shopping Bags
🎒  (things) Backpack
🩴  (things) Thong Sandal
👞  (things) Man's Shoe
👟  (things) Running Shoe
🥾  (things) Hiking Boot
🥿  (things) Flat Shoe
👠  (things) High-Heeled Shoe
👡  (things) Woman's Sandal
🩰  (things) Ballet Shoes
👢  (things) Woman's Boot
🪮  (things) Hair Pick
👑  (things) Crown
👒  (things) Woman's Hat
🎩  (things) Top Hat
🎓  (things) Graduation Cap
🧢  (things) Billed Cap
🪖  (things) Military Helmet
⛑️  (things) Rescue Worker's Helmet
📿  (things) Prayer Beads
💄  (things) Lipstick
💍  (things) Ring
💎  (things) Gem Stone
🦯  (things) White Cane
---
🔇  (audio/music) Muted Speaker
🔈  (audio/music) Speaker Low Volume
🔉  (audio/music) Speaker Medium Volume
🔊  (audio/music) Speaker High Volume
📢  (audio/music) Loudspeaker
📣  (audio/music) Megaphone
📯  (audio/music) Postal Horn
🔔  (audio/music) Bell
🔕  (audio/music) Bell with Slash
🎼  (audio/music) Musical Score
🎵  (audio/music) Musical Note
🎶  (audio/music) Musical Notes
🎙️  (audio/music) Studio Microphone
🎚️  (audio/music) Level Slider
🎛️  (audio/music) Control Knobs
🎤  (audio/music) Microphone
🎧  (audio/music) Headphone
📻  (audio/music) Radio
🎷  (audio/music) Saxophone
🪗  (audio/music) Accordion
🎸  (audio/music) Guitar
🎹  (audio/music) Musical Keyboard
🎺  (audio/music) Trumpet
🎻  (audio/music) Violin
🪕  (audio/music) Banjo
🥁  (audio/music) Drum
🪘  (audio/music) Long Drum
🪇  (audio/music) Maracas
🪈  (audio/music) Flute  () ---
📱  (electronics) Mobile Phone
📲  (electronics) Mobile Phone with Arrow
☎️  (electronics) Telephone
📞  (electronics) Telephone Receiver
📟  (electronics) Pager
📠  (electronics) Fax Machine
🔋  (electronics) Battery
🪫  (electronics) Low Battery
🔌  (electronics) Electric Plug
💻  (electronics) Laptop
🖥️  (electronics) Desktop Computer
🖨️  (electronics) Printer
⌨️  ()electronics Keyboard
🖱️  (electronics) Computer Mouse
🖲️  (electronics) Trackball
💽  (electronics) Computer Disk
💾  (electronics) Floppy Disk
💿  (electronics) Optical Disk
📀  (electronics) DVD
🎥  (electronics) Movie Camera
🎞️  (electronics) Film Frames
📽️  (electronics) Film Projector
🎬  (electronics) Clapper Board
📺  (electronics) Television
📷  (electronics) Camera
📸  (electronics) Camera with Flash
📹  (electronics) Video Camera
📼  (electronics) Videocassette
---
📔  (book/paper) Notebook with Decorative Cover
📕  (book/paper) Closed Book
📖  (book/paper) Open Book
📗  (book/paper) Green Book
📘  (book/paper) Blue Book
📙  (book/paper) Orange Book
📚  (book/paper) Books
📓  (book/paper) Notebook
📒  (book/paper) Ledger
📃  (book/paper) Page with Curl
📜  (book/paper) Scroll
📄  (book/paper) Page Facing Up
📰  (book/paper) Newspaper
🗞️  (book/paper) Rolled-Up Newspaper
📑  (book/paper) Bookmark Tabs
🔖  (book/paper) Bookmark
🏷️  (book/paper) Label
✉️  () Envelope
📧  () E-Mail
📨  () Incoming Envelope
📩  () Envelope with Arrow
📤  () Outbox Tray
📥  () Inbox Tray
📦  () Package
📫  (postbox) Closed Mailbox with Raised Flag
📪  (postbox) Closed Mailbox with Lowered Flag
📬  (postbox) Open Mailbox with Raised Flag
📭  (postbox) Open Mailbox with Lowered Flag
📮  () Postbox
🗳️  () Ballot Box with Ballot
✏️  () Pencil
✒️  () Black Nib
🖋️  () Fountain Pen
🖊️  () Pen
🖌️  () Paintbrush
🖍️  () Crayon
📝  () Memo
💼  () Briefcase
📁  () File Folder
📂  () Open File Folder
🗂️  () Card Index Dividers
📅  () Calendar
📆  () Tear-Off Calendar
🗒️  () Spiral Notepad
🗓️  () Spiral Calendar
📇  () Card Index
📈  () Chart Increasing
📉  () Chart Decreasing
📊  () Bar Chart
📋  () Clipboard
📌  () Pushpin
📍  () Round Pushpin
📎  () Paperclip
🖇️  () Linked Paperclips
📏  () Straight Ruler
📐  () Triangular Ruler
✂️  () Scissors
🗃️  () Card File Box
🗄️  () File Cabinet
🗑️  () Wastebasket
---
⌛  (clock) Hourglass Done
⏳  (clock) Hourglass Not Done
⌚  (clock) Watch
⏰  (clock) Alarm Clock
⏱️  ()clock Stopwatch
⏲️  ()clock Timer Clock
🕰️  (clock) Mantelpiece Clock
🕛  (clock) Twelve O'Clock
🕧  (clock) Twelve-Thirty
🕐  (clock) One O'Clock
🕜  (clock) One-Thirty
🕑  (clock) Two O'Clock
🕝  (clock) Two-Thirty
🕒  (clock) Three O'Clock
🕞  (clock) Three-Thirty
🕓  (clock) Four O'Clock
🕟  (clock) Four-Thirty
🕔  (clock) Five O'Clock
🕠  (clock) Five-Thirty
🕕  (clock) Six O'Clock
🕡  (clock) Six-Thirty
🕖  (clock) Seven O'Clock
🕢  (clock) Seven-Thirty
🕗  (clock) Eight O'Clock
🕣  (clock) Eight-Thirty
🕘  (clock) Nine O'Clock
🕤  (clock) Nine-Thirty
🕙  (clock) Ten O'Clock
🕥  (clock) Ten-Thirty
🕚  (clock) Eleven O'Clock
🕦  (clock) Eleven-Thirty
🧮  () Abacus
💰  (money) Money Bag
🪙  (money) Coin
💴  (money) Yen Banknote
💵  (money) Dollar Banknote
💶  (money) Euro Banknote
💷  (money) Pound Banknote
💸  (money) Money with Wings
💳  (money) Credit Card
🧾  (bill) Receipt
💹  () Chart Increasing with Yen
---
🧳  () Luggage
🌡️  () Thermometer
🧸  () Teddy Bear
🧶  () Yarn
🪢  () Knot
🔍  () Magnifying Glass Tilted Left
🔎  () Magnifying Glass Tilted Right
🕯️  () Candle
💡  () Light Bulb
🔦  () Flashlight
🔒  () Locked
🔓  () Unlocked
🔏  () Locked with Pen
🔐  () Locked with Key
🔑  () Key
🗝️  () Old Key
🔨  () Hammer
🪓  () Axe
⛏️  () Pick
⚒️  () Hammer and Pick
🛠️  () Hammer and Wrench
🗡️  () Dagger
⚔️  () Crossed Swords
💣  () Bomb
🪃  () Boomerang
🏹  () Bow and Arrow
🛡️  () Shield
🪚  () Carpentry Saw
🔧  () Wrench
🪛  () Screwdriver
🔩  () Nut and Bolt
⚙️  () Gear
🗜️  () Clamp
⚖️  () Balance Scale
🔗  () Link
⛓️  () Chains
🪝  () Hook
🧰  () Toolbox
🧲  () Magnet
🪜  () Ladder
⚗️  () Alembic
🧪  () Test Tube
🧫  () Petri Dish
🔬  () Microscope
🔭  () Telescope
📡  () Satellite Antenna
💉  () Syringe
🩹  () Adhesive Bandage
🩼  () Crutch
🩺  () Stethoscope
🩻  () X-Ray
🚪  () Door
🪞  () Mirror
🪟  () Window
🛏️  () Bed
🛋️  () Couch and Lamp
🪑  () Chair
🚽  () Toilet
🪠  () Plunger
🚿  () Shower
🛁  () Bathtub
🪤  () Mouse Trap
🪒  () Razor
🧴  () Lotion Bottle
🧷  () Safety Pin
🧹  () Broom
🧺  () Basket
🧻  () Roll of Paper
🪣  () Bucket
🧼  () Soap
🫧  () Bubbles
🪥  () Toothbrush
🧽  () Sponge
🧯  () Fire Extinguisher
🛒  () Shopping Cart
---
💌  (heart) Love Letter
💘  (heart) Heart with Arrow
💝  (heart) Heart with Ribbon
💖  (heart) Sparkling Heart
💗  (heart) Growing Heart
💓  (heart) Beating Heart
💞  (heart) Revolving Hearts
💕  (heart) Two Hearts
💟  (heart) Heart Decoration
❣️  (heart) Heart Exclamation
💔  (heart) Broken Heart
❤️‍🔥  (heart) Heart on Fire
❤️‍🩹  (heart) Mending Heart
❤️  (heart) Red Heart
🩷  (heart) Pink Heart
🧡  (heart) Orange Heart
💛  (heart) Yellow Heart
💚  (heart) Green Heart
💙  (heart) Blue Heart
🩵  (heart) Light Blue Heart
💜  (heart) Purple Heart
🤎  (heart) Brown Heart
🖤  (heart) Black Heart
🩶  (heart) Grey Heart
🤍  (heart) White Heart
💋  () Kiss Mark
💯  () Hundred Points
💢  () Anger Symbol
💥  (fire) Collision
💦  (water) Sweat Droplets
💨  (air,fart) Dashing Away
🕳️  () Hole
💬  (chat) Speech Balloon
👁️‍🗨️  (chat) Eye in Speech Bubble
🗨️  (chat) Left Speech Bubble
🗯️  (chat) Right Anger Bubble
💭  (chat) Thought Balloon
💤  (sleep) Zzz
🔴  (shape) Red Circle
🟠  (shape) Orange Circle
🟡  (shape) Yellow Circle
🟢  (shape) Green Circle
🔵  (shape) Blue Circle
🟣  (shape) Purple Circle
🟤  (shape) Brown Circle
⚫  (shape) Black Circle
⚪  (shape) White Circle
🟥  (shape) Red Square
🟧  (shape) Orange Square
🟨  (shape) Yellow Square
🟩  (shape) Green Square
🟦  (shape) Blue Square
🟪  (shape) Purple Square
🟫  (shape) Brown Square
⬜  (shape) White Large Square
◼️  (shape) Black Medium Square
◻️  (shape) White Medium Square
◾  (shape) Black Medium-Small Square
◽  (shape) White Medium-Small Square
▪️  (shape) Black Small Square
▫️  (shape) White Small Square
🔶  (shape) Large Orange Diamond
🔷  (shape) Large Blue Diamond
🔸  (shape) Small Orange Diamond
🔹  (shape) Small Blue Diamond
🔺  (shape) Red Triangle Pointed Up
🔻  (shape) Red Triangle Pointed Down
💠  (shape) Diamond with a Dot
🔘  (shape) Radio Button
🔳  (shape) White Square Button
🔲  (shape) Black Square Button  () ---
🛗  (signsboard) Elevator
🏧  (signsboard) ATM Sign
🚮  (signsboard) Litter in Bin Sign
🚰  (signsboard) Potable Water
♿  (signsboard) Wheelchair Symbol
🚹  (signsboard) Men’s Room
🚺  (signsboard) Women’s Room
🚻  (signsboard) Restroom
🚼  (signsboard) Baby Symbol
🚾  (signsboard) Water Closet
🛂  (signsboard) Passport Control
🛃  (signsboard) Customs
🛄  (signsboard) Baggage Claim
🛅  (signsboard) Left Luggage
⚠️  (signsboard) Warning
🚸  (signsboard) Children Crossing
⛔  (signsboard) No Entry
🚫  (signsboard) Prohibited
🚳  (signsboard) No Bicycles
🚭  (signsboard) No Smoking
🚯  (signsboard) No Littering
🚱  (signsboard) Non-Potable Water
🚷  (signsboard) No Pedestrians
📵  (signsboard) No Mobile Phones
🔞  (signsboard) No One Under Eighteen
☢️  (signsboard) Radioactive
☣️  (signsboard) Biohazard  () ---
⬆️  (direction) (arrow) Up Arrow
↗️  (direction) Up-Right Arrow
➡️  direction() Right Arrow
↘️  (direction) Down-Right Arrow
⬇️  (direction) Down Arrow
↙️  (direction) Down-Left Arrow
⬅️  (direction) Left Arrow
↖️  (direction) Up-Left Arrow
↕️  (direction) Up-Down Arrow
↔️  (direction) Left-Right Arrow
↩️  (direction) Right Arrow Curving Left
↪️  (direction) Left Arrow Curving Right
⤴️  (direction) Right Arrow Curving Up
⤵️  (direction) Right Arrow Curving Down
🔃  (direction) Clockwise Vertical Arrows
🔄  (direction) Counterclockwise Arrows Button
🔙  (direction) Back Arrow
🔚  (direction) End Arrow
🔛  (direction) On! Arrow
🔜  (direction) Soon Arrow
🔝  (direction) Top Arrow
🔀  (direction) Shuffle Tracks Button
🔁  (direction) Repeat Button
🔂  (direction) Repeat Single Button
▶️  (media-control) Play Button
⏩  (media-control) Fast-Forward Button
⏭️  (media-control) Next Track Button
⏯️  (media-control) Play or Pause Button
◀️  (media-control) Reverse Button
⏪  (media-control) Fast Reverse Button
⏮️  (media-control) Last Track Button
🔼  (media-control) Upwards Button
⏫  (media-control) Fast Up Button
🔽  (media-control) Downwards Button
⏬  (media-control) Fast Down Button
⏸️  (media-control) Pause Button
⏹️  (media-control) Stop Button
⏺️  (media-control) Record Button
⏏️  (electronics) Eject Button
🎦  (electronics) Cinema
🔅  () Dim Button
🔆  () Bright Button
📶  (electronics) Antenna Bars
🛜  (electronics) Wireless
📳  (electronics) Vibration Mode
📴  (electronics) Mobile Phone Off
---
🛐  (religion) Place of Worship
🕉️  (religion) Om
✡️  (religion) Star of David
☸️  (religion) Wheel of Dharma
☯️  (religion) Yin Yang
✝️  (religion) Latin Cross
☦️  (religion) Orthodox Cross
☪️  (religion) Star and Crescent
☮️  (religion) Peace Symbol
🕎  (religion) Menorah
🔯  (religion) Dotted Six-Pointed Star
🪯  (religion) Khanda
♈  () Aries
♉  () Taurus
♊  () Gemini
♋  () Cancer
♌  () Leo
♍  () Virgo
♎  () Libra
♏  () Scorpio
♐  () Sagittarius
♑  () Capricorn
♒  () Aquarius
♓  () Pisces
⛎  () Ophiuchus
♀️  () Female Sign
♂️  () Male Sign
⚧️  () Transgender Symbol  () ---
✖️  () (math signs)  Multiply
➕  () Plus
➖  () Minus
➗  () Divide
🟰  () Heavy Equals Sign
♾️  () Infinity
‼️  () Double Exclamation Mark
⁉️  () Exclamation Question Mark
❓  () Red Question Mark
❔  () White Question Mark
❕  () White Exclamation Mark
❗  () Red Exclamation Mark
〰️  () Wavy Dash
💱  () Currency Exchange
💲  () Heavy Dollar Sign
#️⃣  () Keycap Number Sign
*️⃣  () Keycap Asterisk
0️⃣  () Keycap Digit Zero
1️⃣  () Keycap Digit One
2️⃣  () Keycap Digit Two
3️⃣  () Keycap Digit Three
4️⃣  () Keycap Digit Four
5️⃣  () Keycap Digit Five
6️⃣  () Keycap Digit Six
7️⃣  () Keycap Digit Seven
8️⃣  () Keycap Digit Eight
9️⃣  () Keycap Digit Nine
🔟  () Keycap: 10
🔠  () Input Latin Uppercase
🔡  () Input Latin Lowercase
🔢  () Input Numbers
🔣  () Input Symbols
🔤  () Input Latin Letters
🅰️  () A Button (Blood Type)
🆎  () AB Button (Blood Type)
🅱️  () B Button (Blood Type)
🆑  () CL Button
🆒  () Cool Button
🆓  () Free Button
ℹ️  () Information
🆔  () ID Button
Ⓜ️  () Circled M
🆕  () New Button
🆖  () NG Button
🅾️  () O Button (Blood Type)
🆗  () OK Button
🆘  () SOS Button
🆙  () Up! Button
🆚  () Vs Button
🈁  () Japanese “Here” Button
🈂️  () Japanese “Service Charge” Button
🈷️  () Japanese “Monthly Amount” Button
🈶  () Japanese “Not Free of Charge” Button
🈯  () Japanese “Reserved” Button
🉐  () Japanese “Bargain” Button
🈹  () Japanese “Discount” Button
🈚  () Japanese “Free of Charge” Button
🈲  () Japanese “Prohibited” Button
🉑  () Japanese “Acceptable” Button
🈸  () Japanese “Application” Button
🈴  () Japanese “Passing Grade” Button
🈳  () Japanese “Vacancy” Button
㊗️  () Japanese “Congratulations” Button
㊙️  () Japanese “Secret” Button
🈺  () Japanese “Open for Business” Button
🈵  () Japanese “No Vacancy” Button  () ---
⚕️  () (Other Symbols) Medical Symbol
♻️  () Recycling Symbol
⚜️  () Fleur-de-lis
📛  () Name Badge
🔰  () Japanese Symbol for Beginner
⭕  () Hollow Red Circle
✅  () Check Mark Button
☑️  () Check Box with Check
✔️  () Check Mark
❌  () Cross Mark
❎  () Cross Mark Button
➰  () Curly Loop
➿  () Double Curly Loop
〽️  () Part Alternation Mark
✳️  () Eight-Spoked Asterisk
✴️  () Eight-Pointed Star
❇️  () Sparkle
©️  () Copyright
®️  () Registered
™️  () Trade Mark
---
🏁  (flag) chequered Flag
🚩  (flag) triangular Flag
🎌  (flag) crossed Flags
🏴  (flag) black Flag
🏳️  (flag) white Flag
🏳️‍🌈  (flag) rainbow Flag
🏳️‍⚧️  (flag) transgender Flag
🏴‍☠️  (flag) pirate Flag
🇺🇳  (flag) United Nations
🇦🇴  (flag) Angola
🇧🇫  (flag) Burkina Faso
🇧🇮  (flag) Burundi
🇧🇯  (flag) Benin
🇧🇼  (flag) Botswana
🇨🇩  (flag) Congo - Kinshasa
🇨🇫  (flag) Central African Republic
🇨🇬  (flag) Congo - Brazzaville
🇨🇮  (flag) Côte d'Ivoire
🇨🇲  (flag) Cameroon
🇨🇻  (flag) Cape Verde
🇩🇯  (flag) Djibouti
🇩🇿  (flag) Algeria
🇪🇬  (flag) Egypt
🇪🇭  (flag) Western Sahara
🇪🇷  (flag) Eritrea
🇪🇹  (flag) Ethiopia
🇬🇦  (flag) Gabon
🇬🇭  (flag) Ghana
🇬🇲  (flag) Gambia
🇬🇳  (flag) Guinea
🇬🇶  (flag) Equatorial Guinea
🇬🇼  (flag) Guinea-Bissau
🇰🇪  (flag) Kenya
🇰🇲  (flag) Comoros
🇱🇷  (flag) Liberia
🇱🇸  (flag) Lesotho
🇱🇾  (flag) Libya
🇲🇦  (flag) Morocco
🇲🇬  (flag) Madagascar
🇲🇱  (flag) Mali
🇲🇷  (flag) Mauritania
🇲🇺  (flag) Mauritius
🇲🇼  (flag) Malawi
🇲🇿  (flag) Mozambique
🇳🇦  (flag) Namibia
🇳🇪  (flag) Niger
🇳🇬  (flag) Nigeria
🇷🇼  (flag) Rwanda
🇸🇨  (flag) Seychelles
🇸🇩  (flag) Sudan
🇸🇱  (flag) Sierra Leone
🇸🇳  (flag) Senegal
🇸🇴  (flag) Somalia
🇸🇸  (flag) South Sudan
🇸🇿  (flag) Eswatini
🇹🇩  (flag) Chad
🇹🇬  (flag) Togo
🇹🇳  (flag) Tunisia
🇹🇿  (flag) Tanzania
🇺🇬  (flag) Uganda
🇿🇦  (flag) South Africa
🇿🇲  (flag) Zambia
🇿🇼  (flag) Zimbabwe
🇦🇬  (flag) Antigua & Barbuda
🇦🇮  (flag) Anguilla
🇦🇷  (flag) Argentina
🇦🇼  (flag) Aruba
🇧🇧  (flag) Barbados
🇧🇱  (flag) St. Barthélemy
🇧🇲  (flag) Bermuda
🇧🇴  (flag) Bolivia
🇧🇶  (flag) Caribbean Netherlands
🇧🇷  (flag) Brazil
🇧🇸  (flag) Bahamas
🇧🇿  (flag) Belize
🇨🇦  (flag) Canada
🇨🇱  (flag) Chile
🇨🇴  (flag) Colombia
🇨🇷  (flag) Costa Rica
🇨🇺  (flag) Cuba
🇨🇼  (flag) Curaçao
🇩🇲  (flag) Dominica
🇩🇴  (flag) Dominican Republic
🇪🇨  (flag) Ecuador
🇫🇰  (flag) Falkland Islands
🇬🇩  (flag) Grenada
🇬🇫  (flag) French Guiana
🇬🇵  (flag) Guadeloupe
🇬🇹  (flag) Guatemala
🇬🇾  (flag) Guyana
🇭🇳  (flag) Honduras
🇭🇹  (flag) Haiti
🇯🇲  (flag) Jamaica
🇰🇳  (flag) St. Kitts & Nevis
🇰🇾  (flag) Cayman Islands
🇱🇨  (flag) St. Lucia
🇲🇫  (flag) St. Martin
🇲🇶  (flag) Martinique
🇲🇸  (flag) Montserrat
🇲🇽  (flag) Mexico
🇳🇮  (flag) Nicaragua
🇵🇦  (flag) Panama
🇵🇪  (flag) Peru
🇵🇲  (flag) St. Pierre & Miquelon
🇵🇷  (flag) Puerto Rico
🇵🇾  (flag) Paraguay
🇸🇷  (flag) Suriname
🇸🇻  (flag) El Salvador
🇸🇽  (flag) Sint Maarten
🇹🇨  (flag) Turks & Caicos Islands
🇹🇹  (flag) Trinidad & Tobago
🇺🇸  (flag) United States
🇺🇾  (flag) Uruguay
🇻🇪  (flag) Venezuela
🇻🇬  (flag) British Virgin Islands
🇻🇮  (flag) U.S. Virgin Islands
🇦🇪  (flag) United Arab Emirates
🇦🇫  (flag) Afghanistan
🇦🇿  (flag) Azerbaijan
🇧🇩  (flag) Bangladesh
🇧🇭  (flag) Bahrain
🇧🇳  (flag) Brunei
🇧🇹  (flag) Bhutan
🇨🇳  (flag) China
🇭🇰  (flag) Hong Kong SAR China
🇮🇩  (flag) Indonesia
🇮🇱  (flag) Israel
🇮🇳  (flag) India
🇮🇶  (flag) Iraq
🇮🇷  (flag) Iran
🇯🇴  (flag) Jordan
🇯🇵  (flag) Japan
🇰🇬  (flag) Kyrgyzstan
🇰🇭  (flag) Cambodia
🇰🇵  (flag) North Korea
🇰🇷  (flag) South Korea
🇰🇼  (flag) Kuwait
🇰🇿  (flag) Kazakhstan
🇱🇦  (flag) Laos
🇱🇧  (flag) Lebanon
🇱🇰  (flag) Sri Lanka
🇲🇲  (flag) Myanmar (Burma)
🇲🇳  (flag) Mongolia
🇲🇴  (flag) Macao Sar China
🇲🇻  (flag) Maldives
🇲🇾  (flag) Malaysia
🇳🇵  (flag) Nepal
🇴🇲  (flag) Oman
🇵🇭  (flag) Philippines
🇵🇰  (flag) Pakistan
🇵🇸  (flag) Palestinian Territories
🇶🇦  (flag) Qatar
🇷🇺  (flag) Russia
🇸🇦  (flag) Saudi Arabia’
🇸🇬  (flag) Singapore
🇸🇾  (flag) Syria
🇹🇭  (flag) Thailand
🇹🇯  (flag) Tajikistan
🇹🇱  (flag) Timor-Leste
🇹🇲  (flag) Turkmenistan
🇹🇷  (flag) Turkey
🇹🇼  (flag) Taiwan
🇺🇿  (flag) Uzbekistan
🇻🇳  (flag) Vietnam
🇾🇪  (flag) Yemen
🇦🇩  (flag) Andorra
🇦🇱  (flag) Albania
🇦🇲  (flag) Armenia
🇦🇹  (flag) Austria
🇧🇦  (flag) Bosnia & Herzegovina
🇧🇪  (flag) Belgium
🇧🇬  (flag) Bulgaria
🇧🇾  (flag) Belarus
🇨🇭  (flag) Switzerland
🇨🇾  (flag) Cyprus
🇨🇿  (flag) Czechia
🇩🇪  (flag) Germany
🇩🇰  (flag) Denmark
🇪🇦  (flag) Ceuta & Melilla
🇪🇪  (flag) Estonia
🇪🇸  (flag) Spain
🇪🇺  (flag) European Union
🇫🇮  (flag) Finland
🇫🇷  (flag) France
🇬🇧  (flag) United Kingdom
🇬🇪  (flag) Georgia
🇬🇬  (flag) Guernsey
🇬🇮  (flag) Gibraltar
🇬🇷  (flag) Greece
🇭🇷  (flag) Croatia
🇭🇺  (flag) Hungary
🇮🇪  (flag) Ireland
🇮🇲  (flag) Isle of Man
🇮🇸  (flag) Iceland
🇮🇹  (flag) Italy
🇯🇪  (flag) Jersey
🇱🇮  (flag) Liechtenstein
🇱🇹  (flag) Lithuania
🇱🇺  (flag) Luxembourg
🇱🇻  (flag) Latvia
🇲🇨  (flag) Monaco
🇲🇩  (flag) Moldova
🇲🇪  (flag) Montenegro
🇲🇰  (flag) North Macedonia
🇲🇹  (flag) Malta
🇳🇱  (flag) Netherlands
🇳🇴  (flag) Norway
🇵🇱  (flag) Poland
🇵🇹  (flag) Portugal
🇷🇴  (flag) Romania
🇷🇸  (flag) Serbia
🇷🇺  (flag) Russia
🇸🇪  (flag) Sweden
🇸🇮  (flag) Slovenia
🇸🇰  (flag) Slovakia
🇸🇲  (flag) San Marino
🇺🇦  (flag) Ukraine
🇻🇦  (flag) Vatican City
🇽🇰  (flag) Kosovo
🏴󠁧󠁢󠁥󠁮󠁧󠁿  (flag) England
🏴󠁧󠁢󠁳󠁣󠁴󠁿  (flag) Scotland
🏴󠁧󠁢󠁷󠁬󠁳󠁿  (flag) Wales
🇦🇨  (flag) Ascension Island
🇦🇶  (flag) Antarctica
🇦🇸  (flag) American Samoa
🇦🇺  (flag) Australia
🇦🇽  (flag) Åland Islands
🇧🇻  (flag) Bouvet Island
🇨🇨  (flag) Cocos (Keeling) Islands
🇨🇰  (flag) Cook Islands
🇨🇵  (flag) Clipperton Island
🇨🇽  (flag) Christmas Island
🇩🇬  (flag) Diego Garcia
🇫🇯  (flag) Fiji
🇫🇲  (flag) Micronesia
🇬🇱  (flag) Greenland
🇬🇸  (flag) South Georgia & South Sandwich Islands
🇬🇺  (flag) Guam
🇭🇲  (flag) Heard & McDonald Islands
🇮🇨  (flag) Canary Islands
🇮🇴  (flag) British Indian Ocean Territory
🇰🇮  (flag) Kiribati
🇲🇭  (flag) Marshall Islands
🇲🇵  (flag) Northern Mariana Islands
🇳🇨  (flag) New Caledonia
🇳🇫  (flag) Norfolk Island
🇳🇷  (flag) Nauru
🇳🇺  (flag) Niue
🇳🇿  (flag) New Zealand
🇵🇫  (flag) French Polynesia
🇵🇬  (flag) Papua New Guinea
🇵🇳  (flag) Pitcairn Islands
🇵🇼  (flag) Palau
🇷🇪  (flag) Réunion
🇸🇧  (flag) Solomon Islands
